Source,Label,Target,Weight
PGa-IPa,PGa-IPa,TE1,0.013837031
PGa-IPa,PGa-IPa,TE2,0.026246431
PGa-IPa,PGa-IPa,TE3,0.292334724
PGa-IPa,PGa-IPa,TLO,0.001976719
PGa-IPa,PGa-IPa,A8b,0.000878542
PGa-IPa,PGa-IPa,PFG,0.020975181
PGa-IPa,PGa-IPa,A46V,0.0124094
PGa-IPa,PGa-IPa,A3b,0
PGa-IPa,PGa-IPa,A3a,0.000219635
PGa-IPa,PGa-IPa,A46D,0.001866901
PGa-IPa,PGa-IPa,DI,0.013507577
PGa-IPa,PGa-IPa,MST,0.051065232
PGa-IPa,PGa-IPa,AIP,0
PGa-IPa,PGa-IPa,A24a,0.000109818
PGa-IPa,PGa-IPa,A24c,0
PGa-IPa,PGa-IPa,A24b,0.000329453
PGa-IPa,PGa-IPa,A24d,0.000109818
PGa-IPa,PGa-IPa,A19DI,0
PGa-IPa,PGa-IPa,A11,0.000768724
PGa-IPa,PGa-IPa,A10,0.016472655
PGa-IPa,PGa-IPa,S2E,0.00142763
PGa-IPa,PGa-IPa,PGM,0
PGa-IPa,PGa-IPa,A8C,0.000109818
PGa-IPa,PGa-IPa,TL,0.004831979
PGa-IPa,PGa-IPa,V3,0.001757083
PGa-IPa,PGa-IPa,A32V,0
PGa-IPa,PGa-IPa,V5,0.000439271
PGa-IPa,PGa-IPa,TH,0.042828904
PGa-IPa,PGa-IPa,A9,0.000549089
PGa-IPa,PGa-IPa,AuRT,0.000109818
PGa-IPa,PGa-IPa,A1-2,0.001757083
PGa-IPa,PGa-IPa,AI,0.001537448
PGa-IPa,PGa-IPa,IPro,0.017461015
PGa-IPa,PGa-IPa,STR,0.002415989
PGa-IPa,PGa-IPa,AuRM,0
PGa-IPa,PGa-IPa,TFO,0
PGa-IPa,PGa-IPa,OPro,0.001757083
PGa-IPa,PGa-IPa,PaIL,0.000219635
PGa-IPa,PGa-IPa,PaIM,0.000109818
PGa-IPa,PGa-IPa,AuCM,0.000549089
PGa-IPa,PGa-IPa,AuCL,0
V2,V2,S2I,0
V2,V2,AuRTM,0
V2,V2,AuRTL,0
V2,V2,OPAl,0
V2,V2,A6M,0
V2,V2,LIP,0.006737092
V2,V2,MIP,0.000705929
V2,V2,AuA1,0
V2,V2,S2PR,0
V2,V2,V1,0.60547289
V2,V2,PGa-IPa,8.98E-05
V2,V2,V6A,0.001579126
V2,V2,V4,0.041558166
V2,V2,A6Vb,3.08E-05
V2,V2,A6Va,6.47E-05
V2,V2,TPPro,0
V2,V2,A23a,0.000210637
V2,V2,A23b,4.62E-06
V2,V2,A23c,0
V2,V2,TPO,0
V2,V2,A13b,0
V2,V2,A13a,0
V2,V2,TF,0.002219682
V2,V2,GI,0
V2,V2,A25,0
V2,V2,AuAL,0
V2,V2,Gu,0
V2,V2,A13M,0
V2,V2,A13L,0
V2,V2,A23V,0.000569026
V2,V2,TPt,3.08E-05
V2,V2,Pir,0
V2,V2,A29d,0
V2,V2,A19M,0.014471767
V2,V2,A4c,0
V2,V2,APir,0
V2,V2,TPro,0
V2,V2,Ent,0
V2,V2,VIP,0.000129427
V2,V2,ReI,0
V2,V2,PF,0
V2,V2,PG,0.000992482
V2,V2,PE,2.58E-05
V2,V2,A47O,4.62E-06
V2,V2,A47L,0.000625268
V2,V2,A47M,1.30E-05
V2,V2,OPt,0.007236467
V2,V2,A32,0
V2,V2,A45,0.000970522
V2,V2,AuCPB,0
V2,V2,A8aV,0.00058427
V2,V2,A4ab,0
V2,V2,A8aD,0
V2,V2,V4T,0.018145346
V2,V2,S2PV,0
V2,V2,AuML,0
V2,V2,AuRPB,0
