,Source,Target,Distance,Graph Distance,Weight,Difference
64,LIP,OPro,0.5186683455171605,-0.3478990771685628,,0.8665674226857232
65,LIP,PaIL,0.3049535704651639,-0.3479202965858502,,0.6528738670510141
66,LIP,PaIM,0.6671964181991393,-0.345274575195405,,1.0124709933945444
67,LIP,AuCL,-0.6678509774537009,-0.34212587274178374,,-0.3257251047119172
68,MIP,PGa-IPa,-0.03208750120771616,-0.30279536095822096,,0.2707078597505048
69,MIP,TPPro,1.154712046846525,-0.34698874827396986,,1.5017007951204948
70,MIP,TF,0.8493535716479679,-0.3430113434155509,,1.1923649150635187
71,MIP,A25,1.0857751443346493,-0.3485333715199573,,1.4343085158546065
72,MIP,APir,1.8893448278268725,-0.3449263901992361,,2.234271218026109
73,MIP,ReI,-0.47797643483245356,-0.3372662030645204,,-0.14071023176793318
74,MIP,A14C,1.1904564602446952,-0.3484001959928918,,1.538856656237587
75,MIP,TEO,0.1740551925614954,-0.34109629663188035,,0.5151514891933757
76,MIP,AuR,0.12754936838609726,-0.33343610949712715,,0.4609854778832244
77,MIP,A29a-c,-1.409166249455206,-0.34364969234344994,,-1.065516557111756
78,MIP,TE1,0.988388917217728,-0.3472738669018123,,1.3356627841195403
79,MIP,A24a,0.44069947550068195,-0.3257759223624406,,0.7664753978631225
80,MIP,A24c,0.22420278905517327,-0.34838281610149147,,0.5725856051566647
81,MIP,A24b,0.4203970326390421,-0.3486096431186501,,0.7690066757576922
82,MIP,AI,0.4807565510344824,-0.3430113434155509,,0.8237678944500333
83,MIP,IPro,0.5200753716295742,-0.3465678588709653,,0.8666432305005395
84,MIP,OPro,0.8102057670423412,-0.348600153416912,,1.1588059204592531
85,MIP,PaIL,0.6336980298278166,-0.3449263901992361,,0.9786244200270527
86,MIP,PaIM,1.0012583248598232,-0.34666734182076625,,1.3479256666805894
87,MIP,AuCL,-0.3347046726797041,-0.30279536095822096,,-0.03190931172148315
88,AuA1,S2I,-1.3501150642729283,-0.34842332277549143,,-1.001691741497437
89,AuA1,S2PR,-0.824719351247987,-0.3486733226509899,,-0.47604602859699713
90,AuA1,V6A,0.16347204236920168,-0.3482200945709132,,0.5116921369401148
